cell_type,disease,distance,ontology,method,scope,n_genes,n_annotated,n_ref_genes,mean,median,std,max,skew,p10,p25,p75,p90,p95,bestmatch_mean,bestmatch_median,bestmatch_max
da_neurons,parkinson,lin,CC,attention_zero_shot,all,30,30,184,0.33838195422666495,0.27815108562813484,0.23894649304205764,1.0,0.5720054738767336,0.08417726822706983,0.120290546238212,0.5349039511664013,0.6825566966509441,0.763509589916708,0.8954385474085286,0.9423469824637033,1.0
da_neurons,parkinson,lin,CC,attention_zero_shot,annotated,30,30,184,0.33838195422666495,0.27815108562813484,0.23894649304205764,1.0,0.5720054738767336,0.08417726822706983,0.120290546238212,0.5349039511664013,0.6825566966509441,0.763509589916708,0.8954385474085286,0.9423469824637033,1.0
da_neurons,parkinson,lin,CC,ig_lora,all,30,30,184,0.35823740876487914,0.3318058980388585,0.22120085684131605,1.0,0.4029311655976684,0.09658062912473828,0.15014479483975293,0.5335302839100139,0.6653387007327181,0.7423413024280531,0.9138780157992951,0.9334208873889109,1.0
da_neurons,parkinson,lin,CC,ig_lora,annotated,30,30,184,0.35823740876487914,0.3318058980388585,0.22120085684131605,1.0,0.4029311655976684,0.09658062912473828,0.15014479483975293,0.5335302839100139,0.6653387007327181,0.7423413024280531,0.9138780157992951,0.9334208873889109,1.0
da_neurons,parkinson,lin,CC,all_methods,all,60,60,184,0.34830968149577207,0.30959246816940456,0.2304586352709419,1.0,0.48699553341875657,0.09010307379522868,0.12936892853713414,0.534411226597225,0.6738507333914215,0.7535628076565551,0.9046582816039119,0.9359398459517725,1.0
da_neurons,parkinson,lin,CC,all_methods,annotated,60,60,184,0.34830968149577207,0.30959246816940456,0.2304586352709419,1.0,0.48699553341875657,0.09010307379522868,0.12936892853713414,0.534411226597225,0.6738507333914215,0.7535628076565551,0.9046582816039119,0.9359398459517725,1.0
microglia,parkinson,lin,CC,attention_zero_shot,all,30,28,184,0.3069598304187859,0.24518217257884,0.2300928663569721,1.0,0.6563926963339047,0.07440348463590492,0.11832347995336609,0.48097388609913083,0.6544418393743694,0.7359870214229224,0.8084181180041203,0.9211745183671243,1.0
microglia,parkinson,lin,CC,attention_zero_shot,annotated,28,28,184,0.3288855325915563,0.2735952598432491,0.22251585174897656,1.0,0.6685461106252064,0.09008344068653726,0.13452405638855092,0.496807786106064,0.6608750939153395,0.7419180487885156,0.866162269290129,0.9227977914830288,1.0
microglia,parkinson,lin,CC,ig_lora,all,30,30,184,0.3427782560714295,0.29521827325242755,0.2152579897137693,1.0,0.5401894067561338,0.09956618314577656,0.15271158749297714,0.5109432410988554,0.6513627679173086,0.7279966153887253,0.8823525922035844,0.9204746634222423,1.0
microglia,parkinson,lin,CC,ig_lora,annotated,30,30,184,0.3427782560714295,0.29521827325242755,0.2152579897137693,1.0,0.5401894067561338,0.09956618314577656,0.15271158749297714,0.5109432410988554,0.6513627679173086,0.7279966153887253,0.8823525922035844,0.9204746634222423,1.0
microglia,parkinson,lin,CC,all_methods,all,60,58,184,0.3248690432451077,0.2738587744725573,0.2235175710006907,1.0,0.5833725937165833,0.08539093900046367,0.1320087926687487,0.49701942127656246,0.6533506703147335,0.7309659898603175,0.8453853551038524,0.9211745183671243,1.0
microglia,parkinson,lin,CC,all_methods,annotated,58,58,184,0.33607142404666307,0.28457836415972465,0.21890195682789795,1.0,0.6015277262634887,0.09461154927724784,0.14168716004353352,0.5047881494880172,0.6572820418803673,0.7352420021343813,0.8745365742453646,0.921499961937426,1.0
oligodendrocytes,parkinson,lin,CC,attention_zero_shot,all,30,30,184,0.30039819706206417,0.22738768956230743,0.2247049269751561,1.0,0.8596500218053125,0.08117749362280365,0.10698041640921954,0.46683420478605503,0.634434839262157,0.7307246085649959,0.9002910223352428,0.9566375286234785,1.0
oligodendrocytes,parkinson,lin,CC,attention_zero_shot,annotated,30,30,184,0.30039819706206417,0.22738768956230743,0.2247049269751561,1.0,0.8596500218053125,0.08117749362280365,0.10698041640921954,0.46683420478605503,0.634434839262157,0.7307246085649959,0.9002910223352428,0.9566375286234785,1.0
oligodendrocytes,parkinson,lin,CC,ig_lora,all,30,30,184,0.3343803300769189,0.27147573852385376,0.22730486189708707,1.0,0.6609156150165365,0.09199460802742486,0.1299464496236476,0.5052430301017125,0.6696337778843785,0.7578251908633735,0.9159606624103259,0.926391349120196,1.0
oligodendrocytes,parkinson,lin,CC,ig_lora,annotated,30,30,184,0.3343803300769189,0.27147573852385376,0.22730486189708707,1.0,0.6609156150165365,0.09199460802742486,0.1299464496236476,0.5052430301017125,0.6696337778843785,0.7578251908633735,0.9159606624103259,0.926391349120196,1.0
