cell_type,method,gene,ontology,annotated
da_neurons,attention_zero_shot,CCL4,MF,True
da_neurons,attention_zero_shot,IL1B,MF,True
da_neurons,attention_zero_shot,GPR183,MF,True
da_neurons,attention_zero_shot,P2RY12,MF,True
da_neurons,attention_zero_shot,CH25H,MF,True
da_neurons,attention_zero_shot,CD69,MF,True
da_neurons,attention_zero_shot,F13A1,MF,True
da_neurons,attention_zero_shot,ARHGAP28,MF,True
da_neurons,attention_zero_shot,PAX3,MF,True
da_neurons,attention_zero_shot,GLI3,MF,True
da_neurons,attention_zero_shot,PLAC8,MF,True
da_neurons,attention_zero_shot,CD163,MF,True
da_neurons,attention_zero_shot,RHOJ,MF,True
da_neurons,attention_zero_shot,CPED1,MF,False
da_neurons,attention_zero_shot,THSD7B,MF,True
da_neurons,attention_zero_shot,SLCO1C1,MF,True
da_neurons,attention_zero_shot,CA12,MF,True
da_neurons,attention_zero_shot,PRDM6,MF,True
da_neurons,attention_zero_shot,KYNU,MF,True
da_neurons,attention_zero_shot,CENPF,MF,True
da_neurons,attention_zero_shot,BMPER,MF,True
da_neurons,attention_zero_shot,RGS1,MF,True
da_neurons,attention_zero_shot,KCNE4,MF,True
da_neurons,attention_zero_shot,COL27A1,MF,True
da_neurons,attention_zero_shot,HCK,MF,True
